date,code,open,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2013-01-04,sh.000300,2551.8140,2524.4090,2522.9520,9798818200,95579245007.0000,3,0.005862,1,0.057751,0
2013-01-07,sh.000300,2518.0470,2535.9850,2524.4090,7516799300,73167512509.0000,3,0.004488,1,0.458570,0
2013-01-08,sh.000300,2534.6470,2525.3300,2535.9850,7183710000,76498061772.0000,3,0.004289,1,-0.420154,0
2013-01-09,sh.000300,2518.1040,2526.1260,2525.3300,7023117000,74233596955.0000,3,0.004193,1,0.031517,0
2013-01-10,sh.000300,2525.5900,2530.5690,2526.1260,7108586200,71159045499.0000,3,0.004244,1,0.175887,0
2013-01-11,sh.000300,2533.4950,2483.2300,2530.5690,7423917600,72775921987.0000,3,0.004433,1,-1.870690,0
2013-01-14,sh.000300,2474.1760,2577.7250,2483.2300,9355409100,96853471373.0000,3,0.005585,1,3.805331,0
2013-01-15,sh.000300,2579.1320,2595.8560,2577.7250,9862080500,101356961358.0000,3,0.005887,1,0.703367,0
2013-01-16,sh.000300,2591.3650,2577.0920,2595.8560,9353608400,95564995007.0000,3,0.005584,1,-0.722841,0
2013-01-17,sh.000300,2570.7110,2552.7580,2577.0920,6991523900,71716118533.0000,3,0.004174,1,-0.944242,0
2013-01-18,sh.000300,2568.6920,2595.4390,2552.7580,7794030300,77435163470.0000,3,0.004653,1,1.671953,0
2013-01-21,sh.000300,2605.6490,2610.8980,2595.4390,8413374200,85357442058.0000,3,0.005022,1,0.595621,0
2013-01-22,sh.000300,2610.3920,2596.8980,2610.8980,10576627500,102261160399.0000,3,0.006313,1,-0.536214,0
2013-01-23,sh.000300,2588.1980,2607.4560,2596.8980,7573944400,72758926411.0000,3,0.004521,1,0.406566,0
2013-01-24,sh.000300,2606.4270,2582.7550,2607.4560,11127717200,109537680297.0000,3,0.006642,1,-0.947328,0
2013-01-25,sh.000300,2580.8810,2571.6740,2582.7550,5848735900,60689373994.0000,3,0.003491,1,-0.429031,0
2013-01-28,sh.000300,2577.2670,2651.8630,2571.6740,9127479000,98173275704.0000,3,0.005445,1,3.118162,0
2013-01-29,sh.000300,2655.3770,2675.8660,2651.8630,10104022900,108827009893.0000,3,0.006028,1,0.905135,0
2013-01-30,sh.000300,2678.4330,2688.7110,2675.8660,9987499000,100856652553.0000,3,0.005958,1,0.480030,0
2013-01-31,sh.000300,2690.9510,2686.8820,2688.7110,9674010100,94476820552.0000,3,0.005761,1,-0.068020,0
2013-02-01,sh.000300,2677.1870,2743.3240,2686.8820,10387951500,110560933901.0000,3,0.006186,1,2.100646,0
2013-02-04,sh.000300,2753.6880,2748.0280,2743.3240,12793917900,136119589827.0000,3,0.007619,1,0.171475,0
2013-02-05,sh.000300,2727.9300,2771.6750,2748.0280,11613081900,112701171610.0000,3,0.006916,1,0.860507,0
2013-02-06,sh.000300,2771.9080,2775.8440,2771.6750,8277927100,88989578113.0000,3,0.004930,1,0.150413,0
2013-02-07,sh.000300,2771.5300,2759.8700,2775.8440,8997814200,95978595584.0000,3,0.005358,1,-0.575460,0
2013-02-08,sh.000300,2755.6490,2771.7250,2759.8700,7742964400,82903631783.0000,3,0.004611,1,0.429548,0
2013-02-18,sh.000300,2784.0650,2737.4710,2771.7250,7643822700,81001366822.0000,3,0.004538,1,-1.235842,0
